ElectionDate	PartyCode	PartyName	RaceCode	OfficeDesc	CountyCode	CountyName	Juris1num	Juris2num	Precincts	PrecinctsReporting	CanNameLast	CanNameFirst	CanNameMiddle	CanVotes
11/7/2000	REP	Republican	PRE	President of the United States	ALA	Alachua			53	53	Cheney	Bush	/	34124
11/7/2000	REP	Republican	PRE	President of the United States	BAK	Baker			8	8	Cheney	Bush	/	5610
11/7/2000	REP	Republican	PRE	President of the United States	BAY	Bay			49	49	Cheney	Bush	/	38637
11/7/2000	REP	Republican	PRE	President of the United States	BRA	Bradford			20	20	Cheney	Bush	/	5414
11/7/2000	REP	Republican	PRE	President of the United States	BRE	Brevard			177	177	Cheney	Bush	/	115185
11/7/2000	REP	Republican	PRE	President of the United States	BRO	Broward			609	609	Cheney	Bush	/	177902
11/7/2000	REP	Republican	PRE	President of the United States	CAL	Calhoun			14	14	Cheney	Bush	/	2873
11/7/2000	REP	Republican	PRE	President of the United States	CHA	Charlotte			63	63	Cheney	Bush	/	35426
11/7/2000	REP	Republican	PRE	President of the United States	CIT	Citrus			35	35	Cheney	Bush	/	29767
11/7/2000	REP	Republican	PRE	President of the United States	CLA	Clay			52	52	Cheney	Bush	/	41736
11/7/2000	REP	Republican	PRE	President of the United States	CLL	Collier			96	96	Cheney	Bush	/	60450
11/7/2000	REP	Republican	PRE	President of the United States	CLM	Columbia			31	31	Cheney	Bush	/	10964
11/7/2000	REP	Republican	PRE	President of the United States	DES	Desoto			15	15	Cheney	Bush	/	4256
11/7/2000	REP	Republican	PRE	President of the United States	DIX	Dixie			11	11	Cheney	Bush	/	2697
11/7/2000	REP	Republican	PRE	President of the United States	DUV	Duval			268	268	Cheney	Bush	/	152098
11/7/2000	REP	Republican	PRE	President of the United States	ESC	Escambia			109	109	Cheney	Bush	/	73017
11/7/2000	REP	Republican	PRE	President of the United States	FLA	Flagler			27	27	Cheney	Bush	/	12613
11/7/2000	REP	Republican	PRE	President of the United States	FRA	Franklin			8	8	Cheney	Bush	/	2454
11/7/2000	REP	Republican	PRE	President of the United States	GAD	Gadsden			16	16	Cheney	Bush	/	4767
11/7/2000	REP	Republican	PRE	President of the United States	GIL	Gilchrist			14	14	Cheney	Bush	/	3300
11/7/2000	REP	Republican	PRE	President of the United States	GLA	Glades			13	13	Cheney	Bush	/	1841
11/7/2000	REP	Republican	PRE	President of the United States	GUL	Gulf			14	14	Cheney	Bush	/	3550
11/7/2000	REP	Republican	PRE	President of the United States	HAM	Hamilton			8	8	Cheney	Bush	/	2146
11/7/2000	REP	Republican	PRE	President of the United States	HAR	Hardee			12	12	Cheney	Bush	/	3765
11/7/2000	REP	Republican	PRE	President of the United States	HEN	Hendry			22	22	Cheney	Bush	/	4747
11/7/2000	REP	Republican	PRE	President of the United States	HER	Hernando			51	51	Cheney	Bush	/	30646
11/7/2000	REP	Republican	PRE	President of the United States	HIG	Highlands			24	24	Cheney	Bush	/	20206
